NAME,DECLARATION,DESCRIPTION
~UDatasmithClothAssetFactory,virtual ~UDatasmithClothAssetFactory() = default;,The experimental Cloth importer is no longer supported.
~UDatasmithClothComponentFactory,virtual ~UDatasmithClothComponentFactory() = default;,The experimental Cloth importer is no longer supported.
AcquireThreadOwnership,FORCEINLINE void AcquireThreadOwnership(),"FRHICommandListImmediate::AcquireThreadOwnership() is deprecated. Thread ownership of the RHI is automatic, so this function is redundant."
Actions,TArray< TSharedPtr<FEdGraphSchemaAction> > const Actions;,"!! WARNING: This array is no longer populated!! FGraphActionNode::Actions array only functioned with a single Action (GetPrimaryAction), access via Action"
ActivateEditorMode,virtual void ActivateEditorMode() {},This method is deprecated.
Add,inline int32 Add(),Renamed to AddUinitialized() to match TArray API
AddAction,"ENGINE_API virtual void AddAction(const TSharedPtr<FEdGraphSchemaAction>& NewAction, FString const& Category);","Overriding the schema action category is no longer supported, set the category via CosmeticUpdateRootCategory or CosmeticUpdateCategory"
AddAction,"ENGINE_API virtual void AddAction(const TSharedPtr<FEdGraphSchemaAction>& NewAction, FString const& Category) override;","Overriding the schema action category is no longer supported, specify category via FCategorizedGraphActionListBuilder constructor, or on the FEdGraphSchemaAction"
AddActionList,"ENGINE_API virtual void AddActionList( const TArray<TSharedPtr<FEdGraphSchemaAction> >& NewActions, FString const& Category = FString() );",Collections of Action lists were ambiguous and unused - make a compound FEdGraphSchemaAction and Add it
AddActionList,"ENGINE_API virtual void AddActionList(const TArray<TSharedPtr<FEdGraphSchemaAction> >& NewActions, FString const& Category = FString()) override;",Collections of Action lists were ambiguous and unused - make a compound FEdGraphSchemaAction and Add it
AddArea,"NAVIGATIONSYSTEM_API void AddArea(const FBox& NewArea, const int32 Flags, const TFunction<UObject*()>& ObjectProviderFunc = nullptr,",Use the version taking ENavigationDirtyFlag and FNavigationElement instead.
AddAreas,"NAVIGATIONSYSTEM_API void AddAreas(const TConstArrayView<FBox> NewAreas, const int32 Flags, const TFunction<UObject*()>& ObjectProviderFunc = nullptr,",Use the version taking ENavigationDirtyFlag and FNavigationElement instead.
